order_id,product_id,quantity,unit_cost,unit_price
116,27,3,3.12,11.74
116,9,3,3.65,9.96
116,23,2,3.04,3.82
117,8,1,3.31,9.34
117,22,3,2.45,11.98
118,14,2,3.44,4.54
119,14,3,3.44,4.54
119,30,2,2.74,7.08
120,10,3,4.42,10.8
120,2,1,4.04,4.44
120,21,3,3.99,6.86
121,29,1,4.07,6.06
121,30,1,2.74,7.08
121,27,2,3.12,11.74
121,26,2,2.54,8.36
122,10,3,4.42,10.8
123,21,3,3.99,6.86
123,17,2,1.92,3.29
123,29,1,4.07,6.06
123,28,3,3.72,4.03
124,6,3,3.92,7.83
124,15,3,1.65,6.42
124,9,3,3.65,9.96
125,6,3,3.92,7.83
125,28,3,3.72,4.03
126,3,2,2.36,4.4
126,22,1,2.45,11.98
126,6,1,3.92,7.83
127,13,1,3.81,9.15
127,15,2,1.65,6.42
127,11,2,2.11,8.72
128,22,1,2.45,11.98
129,23,1,3.04,3.82
129,21,2,3.99,6.86
129,12,3,1.65,6.2
130,15,3,1.65,6.42
130,20,2,1.57,4.26
131,25,1,4.17,6.8
131,22,3,2.45,11.98
132,3,3,2.36,4.4
132,4,1,1.41,6.42
132,27,3,3.12,11.74
133,6,2,3.92,7.83
133,28,3,3.72,4.03
134,3,3,2.36,4.4
134,15,1,1.65,6.42
134,15,1,1.65,6.42
134,17,2,1.92,3.29
135,22,2,2.45,11.98
135,24,1,4.44,4.38
135,13,2,3.81,9.15
135,27,1,3.12,11.74
136,12,3,1.65,6.2
136,3,3,2.36,4.4
136,2,1,4.04,4.44
136,30,2,2.74,7.08
137,25,3,4.17,6.8
137,24,3,4.44,4.38
138,13,1,3.81,9.15
138,22,3,2.45,11.98
138,28,3,3.72,4.03
138,5,3,4.39,8.43
139,17,1,1.92,3.29
139,24,1,4.44,4.38
139,27,1,3.12,11.74
139,25,1,4.17,6.8
140,27,1,3.12,11.74
140,8,2,3.31,9.34
140,12,1,1.65,6.2
140,9,1,3.65,9.96
141,8,1,3.31,9.34
142,20,3,1.57,4.26
142,23,1,3.04,3.82
142,8,3,3.31,9.34
142,2,2,4.04,4.44
143,5,3,4.39,8.43
144,8,2,3.31,9.34
144,29,1,4.07,6.06
144,22,3,2.45,11.98
145,18,3,2.6,3.6
146,2,2,4.04,4.44
146,21,3,3.99,6.86
146,13,3,3.81,9.15
146,11,3,2.11,8.72
147,6,3,3.92,7.83
147,16,1,3.74,10.59
147,28,1,3.72,4.03
147,10,3,4.42,10.8
148,14,3,3.44,4.54
148,17,1,1.92,3.29
148,13,1,3.81,9.15
148,9,1,3.65,9.96
149,3,3,2.36,4.4
149,24,1,4.44,4.38
149,2,2,4.04,4.44
150,28,1,3.72,4.03
151,16,1,3.74,10.59
151,28,2,3.72,4.03
152,24,1,4.44,4.38
152,24,2,4.44,4.38
153,30,1,2.74,7.08
153,18,2,2.6,3.6
153,25,2,4.17,6.8
153,13,2,3.81,9.15
154,15,1,1.65,6.42
154,26,3,2.54,8.36
154,16,2,3.74,10.59
154,30,1,2.74,7.08
155,24,1,4.44,4.38
155,1,2,1.88,8.3
156,8,2,3.31,9.34
156,19,1,1.85,7.49
156,16,3,3.74,10.59
157,6,3,3.92,7.83
157,26,2,2.54,8.36
157,6,1,3.92,7.83
157,24,3,4.44,4.38
158,27,1,3.12,11.74
159,27,3,3.12,11.74
159,8,1,3.31,9.34
160,12,1,1.65,6.2
160,20,3,1.57,4.26
160,22,3,2.45,11.98
160,30,2,2.74,7.08
161,1,1,1.88,8.3
161,17,3,1.92,3.29
161,9,3,3.65,9.96
161,10,1,4.42,10.8
162,30,1,2.74,7.08
163,27,2,3.12,11.74
163,9,2,3.65,9.96
163,3,2,2.36,4.4
164,10,3,4.42,10.8
164,27,1,3.12,11.74
165,18,2,2.6,3.6
165,2,3,4.04,4.44
165,1,3,1.88,8.3
165,6,1,3.92,7.83
166,29,3,4.07,6.06
167,9,1,3.65,9.96
167,30,1,2.74,7.08
167,22,2,2.45,11.98
167,29,3,4.07,6.06
168,19,1,1.85,7.49
168,25,3,4.17,6.8
169,19,1,1.85,7.49
169,19,2,1.85,7.49
170,2,1,4.04,4.44
170,14,1,3.44,4.54
170,27,1,3.12,11.74
171,25,2,4.17,6.8
171,1,3,1.88,8.3
171,9,2,3.65,9.96
171,16,1,3.74,10.59
172,22,3,2.45,11.98
172,22,2,2.45,11.98
173,23,1,3.04,3.82
173,3,2,2.36,4.4
174,12,1,1.65,6.2
174,3,1,2.36,4.4
174,10,2,4.42,10.8
175,3,1,2.36,4.4
175,14,2,3.44,4.54
176,12,3,1.65,6.2
177,1,2,1.88,8.3
177,14,2,3.44,4.54
177,25,1,4.17,6.8
177,24,3,4.44,4.38
178,6,1,3.92,7.83
178,9,2,3.65,9.96
178,9,2,3.65,9.96
178,5,1,4.39,8.43
179,16,1,3.74,10.59
179,12,2,1.65,6.2
179,8,3,3.31,9.34
180,4,1,1.41,6.42
180,10,1,4.42,10.8
180,13,2,3.81,9.15
180,27,3,3.12,11.74
181,14,3,3.44,4.54
181,20,1,1.57,4.26
181,10,2,4.42,10.8
182,11,2,2.11,8.72
182,24,3,4.44,4.38
182,21,2,3.99,6.86
182,19,1,1.85,7.49
183,4,3,1.41,6.42
183,7,3,1.32,5.64
183,18,1,2.6,3.6
184,26,2,2.54,8.36
184,27,3,3.12,11.74
184,3,2,2.36,4.4
184,22,2,2.45,11.98
185,22,1,2.45,11.98
185,23,2,3.04,3.82
185,26,2,2.54,8.36
186,18,3,2.6,3.6
186,30,3,2.74,7.08
186,14,3,3.44,4.54
186,2,2,4.04,4.44
187,21,3,3.99,6.86
187,2,3,4.04,4.44
188,1,1,1.88,8.3
189,15,2,1.65,6.42
189,13,2,3.81,9.15
190,4,2,1.41,6.42
190,14,1,3.44,4.54
190,4,3,1.41,6.42
190,5,2,4.39,8.43
191,12,2,1.65,6.2
191,4,2,1.41,6.42
191,24,3,4.44,4.38
191,15,2,1.65,6.42
192,28,2,3.72,4.03
193,18,1,2.6,3.6
193,11,3,2.11,8.72
194,21,1,3.99,6.86
194,6,3,3.92,7.83
194,22,2,2.45,11.98
194,13,1,3.81,9.15
195,1,3,1.88,8.3
195,7,1,1.32,5.64
195,9,3,3.65,9.96
195,26,1,2.54,8.36
196,11,1,2.11,8.72
196,15,1,1.65,6.42
196,9,3,3.65,9.96
197,20,2,1.57,4.26
197,19,1,1.85,7.49
197,12,2,1.65,6.2
197,28,2,3.72,4.03
198,22,1,2.45,11.98
199,6,2,3.92,7.83
200,19,2,1.85,7.49
200,14,1,3.44,4.54
201,16,2,3.74,10.59
201,5,1,4.39,8.43
202,28,2,3.72,4.03
203,18,3,2.6,3.6
203,21,2,3.99,6.86
203,14,3,3.44,4.54
203,16,2,3.74,10.59
204,26,1,2.54,8.36
205,6,2,3.92,7.83
205,19,3,1.85,7.49
205,25,2,4.17,6.8
206,25,3,4.17,6.8
206,27,2,3.12,11.74
206,18,1,2.6,3.6
207,24,3,4.44,4.38
208,12,1,1.65,6.2
208,15,1,1.65,6.42
208,25,1,4.17,6.8
209,6,3,3.92,7.83
209,5,1,4.39,8.43
209,27,1,3.12,11.74
209,26,1,2.54,8.36
210,11,3,2.11,8.72
210,10,2,4.42,10.8
211,25,2,4.17,6.8
211,30,1,2.74,7.08
212,5,3,4.39,8.43
212,11,1,2.11,8.72
213,21,2,3.99,6.86
213,13,2,3.81,9.15
213,3,3,2.36,4.4
214,15,2,1.65,6.42
214,11,3,2.11,8.72
214,1,3,1.88,8.3
215,26,3,2.54,8.36
216,9,2,3.65,9.96
216,27,2,3.12,11.74
216,11,3,2.11,8.72
216,19,1,1.85,7.49
217,4,3,1.41,6.42
218,15,1,1.65,6.42
218,14,1,3.44,4.54
218,23,1,3.04,3.82
218,29,3,4.07,6.06
219,9,1,3.65,9.96
219,12,3,1.65,6.2
219,29,3,4.07,6.06
220,14,3,3.44,4.54
220,3,3,2.36,4.4
221,5,3,4.39,8.43
222,23,2,3.04,3.82
223,3,1,2.36,4.4
223,13,1,3.81,9.15
223,24,1,4.44,4.38
223,4,2,1.41,6.42
224,25,1,4.17,6.8
224,21,3,3.99,6.86
224,5,1,4.39,8.43
224,17,3,1.92,3.29
225,24,1,4.44,4.38
225,21,3,3.99,6.86
225,5,2,4.39,8.43
226,5,1,4.39,8.43
227,8,2,3.31,9.34
227,21,1,3.99,6.86
228,25,3,4.17,6.8
228,1,3,1.88,8.3
228,29,2,4.07,6.06
229,24,2,4.44,4.38
229,10,3,4.42,10.8
230,4,1,1.41,6.42
230,16,3,3.74,10.59
230,20,1,1.57,4.26
230,17,1,1.92,3.29
231,28,3,3.72,4.03
231,14,2,3.44,4.54
231,18,3,2.6,3.6
231,6,2,3.92,7.83
232,9,1,3.65,9.96
233,21,3,3.99,6.86
233,17,2,1.92,3.29
233,14,3,3.44,4.54
234,9,1,3.65,9.96
234,10,1,4.42,10.8
235,13,3,3.81,9.15
235,21,3,3.99,6.86
235,22,3,2.45,11.98
236,8,1,3.31,9.34
237,10,3,4.42,10.8
238,6,2,3.92,7.83
239,12,1,1.65,6.2
239,24,2,4.44,4.38
240,9,3,3.65,9.96
240,3,2,2.36,4.4
240,23,3,3.04,3.82
240,21,1,3.99,6.86
241,16,3,3.74,10.59
242,29,3,4.07,6.06
243,28,1,3.72,4.03
244,30,1,2.74,7.08
244,6,1,3.92,7.83
244,18,3,2.6,3.6
244,24,3,4.44,4.38
245,30,3,2.74,7.08
245,11,2,2.11,8.72
245,27,1,3.12,11.74
245,19,2,1.85,7.49
246,26,3,2.54,8.36
246,2,2,4.04,4.44
247,11,1,2.11,8.72
247,18,2,2.6,3.6
247,1,2,1.88,8.3
248,15,2,1.65,6.42
248,19,2,1.85,7.49
249,1,2,1.88,8.3
249,1,1,1.88,8.3
250,25,3,4.17,6.8
251,17,1,1.92,3.29
251,14,2,3.44,4.54
252,2,1,4.04,4.44
253,19,1,1.85,7.49
254,14,3,3.44,4.54
255,30,2,2.74,7.08
255,23,3,3.04,3.82
255,11,2,2.11,8.72
256,5,3,4.39,8.43
256,4,1,1.41,6.42
257,14,1,3.44,4.54
257,18,2,2.6,3.6
257,25,1,4.17,6.8
258,3,1,2.36,4.4
259,27,2,3.12,11.74
259,5,1,4.39,8.43
260,22,2,2.45,11.98
261,28,2,3.72,4.03
261,18,3,2.6,3.6
261,18,1,2.6,3.6
261,4,2,1.41,6.42
262,2,1,4.04,4.44
263,19,3,1.85,7.49
264,7,3,1.32,5.64
265,4,1,1.41,6.42
265,15,1,1.65,6.42
265,6,3,3.92,7.83
266,13,3,3.81,9.15
267,9,2,3.65,9.96
267,15,1,1.65,6.42
268,21,2,3.99,6.86
268,16,2,3.74,10.59
269,5,2,4.39,8.43
269,7,3,1.32,5.64
269,29,3,4.07,6.06
269,8,3,3.31,9.34
270,12,3,1.65,6.2
270,17,2,1.92,3.29
270,13,2,3.81,9.15
270,6,1,3.92,7.83
271,2,2,4.04,4.44
271,17,2,1.92,3.29
271,25,3,4.17,6.8
272,22,1,2.45,11.98
272,9,3,3.65,9.96
273,12,1,1.65,6.2
273,6,1,3.92,7.83
273,19,2,1.85,7.49
273,26,3,2.54,8.36
274,19,3,1.85,7.49
274,5,3,4.39,8.43
274,7,2,1.32,5.64
275,2,1,4.04,4.44
276,11,3,2.11,8.72
277,30,2,2.74,7.08
277,2,1,4.04,4.44
278,3,2,2.36,4.4
278,23,3,3.04,3.82
278,13,3,3.81,9.15
279,6,3,3.92,7.83
279,14,3,3.44,4.54
280,8,3,3.31,9.34
280,19,1,1.85,7.49
280,13,2,3.81,9.15
281,28,3,3.72,4.03
281,2,1,4.04,4.44
281,20,2,1.57,4.26
281,30,3,2.74,7.08
282,5,2,4.39,8.43
282,24,1,4.44,4.38
282,8,2,3.31,9.34
282,11,1,2.11,8.72
283,9,1,3.65,9.96
284,26,1,2.54,8.36
284,24,1,4.44,4.38
284,2,2,4.04,4.44
285,16,2,3.74,10.59
285,12,3,1.65,6.2
285,13,1,3.81,9.15
285,27,2,3.12,11.74
286,10,1,4.42,10.8
287,6,2,3.92,7.83
287,6,3,3.92,7.83
287,3,3,2.36,4.4
288,23,1,3.04,3.82
288,14,3,3.44,4.54
288,6,3,3.92,7.83
288,29,2,4.07,6.06
289,7,2,1.32,5.64
289,23,3,3.04,3.82
290,4,1,1.41,6.42
290,13,3,3.81,9.15
291,14,1,3.44,4.54
292,4,1,1.41,6.42
292,7,1,1.32,5.64
293,26,2,2.54,8.36
293,16,2,3.74,10.59
293,29,3,4.07,6.06
294,12,2,1.65,6.2
294,12,1,1.65,6.2
295,9,1,3.65,9.96
295,27,2,3.12,11.74
295,19,1,1.85,7.49
295,5,3,4.39,8.43
296,25,3,4.17,6.8
296,8,3,3.31,9.34
296,2,2,4.04,4.44
296,27,3,3.12,11.74
297,16,2,3.74,10.59
297,3,2,2.36,4.4
298,4,2,1.41,6.42
298,6,1,3.92,7.83
299,14,1,3.44,4.54
300,11,3,2.11,8.72
300,30,1,2.74,7.08
300,3,2,2.36,4.4
301,30,1,2.74,7.08
301,26,3,2.54,8.36
301,20,3,1.57,4.26
301,17,2,1.92,3.29
302,30,1,2.74,7.08
303,29,2,4.07,6.06
303,9,2,3.65,9.96
303,21,2,3.99,6.86
304,5,3,4.39,8.43
304,20,3,1.57,4.26
304,23,2,3.04,3.82
304,2,2,4.04,4.44
305,30,2,2.74,7.08
305,29,2,4.07,6.06
305,1,2,1.88,8.3
305,27,2,3.12,11.74
306,5,2,4.39,8.43
306,24,2,4.44,4.38
307,7,2,1.32,5.64
308,27,1,3.12,11.74
308,17,1,1.92,3.29
308,3,2,2.36,4.4
309,6,1,3.92,7.83
310,15,1,1.65,6.42
311,27,2,3.12,11.74
311,17,2,1.92,3.29
311,21,1,3.99,6.86
312,6,2,3.92,7.83
312,19,3,1.85,7.49
312,12,2,1.65,6.2
312,6,2,3.92,7.83
313,6,3,3.92,7.83
314,9,3,3.65,9.96
314,14,3,3.44,4.54
315,21,1,3.99,6.86
315,20,1,1.57,4.26
316,14,2,3.44,4.54
316,28,2,3.72,4.03
316,15,2,1.65,6.42
317,19,1,1.85,7.49
317,1,3,1.88,8.3
317,22,2,2.45,11.98
317,18,3,2.6,3.6
318,11,2,2.11,8.72
319,7,1,1.32,5.64
319,17,1,1.92,3.29
319,29,1,4.07,6.06
320,21,2,3.99,6.86
321,24,1,4.44,4.38
321,19,3,1.85,7.49
321,19,1,1.85,7.49
321,11,3,2.11,8.72
322,17,2,1.92,3.29
322,28,1,3.72,4.03
322,27,3,3.12,11.74
323,24,2,4.44,4.38
323,24,3,4.44,4.38
324,12,1,1.65,6.2
324,24,2,4.44,4.38
325,19,2,1.85,7.49
325,15,1,1.65,6.42
325,16,1,3.74,10.59
326,28,3,3.72,4.03
327,28,1,3.72,4.03
328,5,2,4.39,8.43
328,28,3,3.72,4.03
328,6,1,3.92,7.83
328,16,2,3.74,10.59
329,9,1,3.65,9.96
329,25,1,4.17,6.8
329,19,1,1.85,7.49
329,16,1,3.74,10.59
330,14,2,3.44,4.54
330,13,1,3.81,9.15
330,2,3,4.04,4.44
330,7,3,1.32,5.64
331,1,3,1.88,8.3
331,1,3,1.88,8.3
332,4,2,1.41,6.42
332,17,3,1.92,3.29
333,10,2,4.42,10.8
333,24,3,4.44,4.38
333,20,3,1.57,4.26
334,12,1,1.65,6.2
334,6,2,3.92,7.83
334,1,1,1.88,8.3
334,8,3,3.31,9.34
335,4,2,1.41,6.42
335,23,3,3.04,3.82
336,20,1,1.57,4.26
337,14,2,3.44,4.54
338,23,1,3.04,3.82
338,7,3,1.32,5.64
338,22,3,2.45,11.98
338,1,2,1.88,8.3
339,20,3,1.57,4.26
339,23,1,3.04,3.82
339,14,1,3.44,4.54
340,4,1,1.41,6.42
340,16,1,3.74,10.59
340,20,1,1.57,4.26
341,23,2,3.04,3.82
341,10,1,4.42,10.8
341,2,3,4.04,4.44
342,8,1,3.31,9.34
342,1,3,1.88,8.3
342,3,1,2.36,4.4
343,24,3,4.44,4.38
344,10,2,4.42,10.8
344,15,1,1.65,6.42
344,4,1,1.41,6.42
344,28,1,3.72,4.03
345,4,1,1.41,6.42
346,12,2,1.65,6.2
346,20,2,1.57,4.26
346,29,3,4.07,6.06
347,13,2,3.81,9.15
348,21,1,3.99,6.86
348,4,1,1.41,6.42
348,23,3,3.04,3.82
348,2,1,4.04,4.44
349,6,3,3.92,7.83
349,13,2,3.81,9.15
349,20,1,1.57,4.26
349,28,3,3.72,4.03
350,15,1,1.65,6.42
350,3,2,2.36,4.4
350,21,2,3.99,6.86
350,1,3,1.88,8.3
351,22,2,2.45,11.98
351,17,3,1.92,3.29
352,22,3,2.45,11.98
352,21,2,3.99,6.86
352,5,3,4.39,8.43
353,28,2,3.72,4.03
353,28,1,3.72,4.03
353,3,2,2.36,4.4
353,11,1,2.11,8.72
354,18,3,2.6,3.6
354,13,2,3.81,9.15
355,3,2,2.36,4.4
355,15,2,1.65,6.42
355,4,2,1.41,6.42
355,24,3,4.44,4.38
356,18,3,2.6,3.6
357,29,3,4.07,6.06
357,18,1,2.6,3.6
357,21,3,3.99,6.86
358,27,1,3.12,11.74
359,23,3,3.04,3.82
359,12,3,1.65,6.2
359,15,1,1.65,6.42
359,4,3,1.41,6.42
360,18,3,2.6,3.6
360,12,3,1.65,6.2
360,4,1,1.41,6.42
361,9,3,3.65,9.96
362,15,1,1.65,6.42
362,23,2,3.04,3.82
363,25,2,4.17,6.8
364,16,1,3.74,10.59
364,17,3,1.92,3.29
365,30,3,2.74,7.08
365,25,1,4.17,6.8
365,23,3,3.04,3.82
365,6,3,3.92,7.83
366,17,2,1.92,3.29
366,14,3,3.44,4.54
366,30,3,2.74,7.08
367,15,1,1.65,6.42
367,5,2,4.39,8.43
367,20,3,1.57,4.26
368,7,1,1.32,5.64
368,20,3,1.57,4.26
369,17,3,1.92,3.29
369,23,3,3.04,3.82
370,19,3,1.85,7.49
370,22,3,2.45,11.98
370,14,3,3.44,4.54
370,24,3,4.44,4.38
371,1,2,1.88,8.3
372,25,1,4.17,6.8
372,10,3,4.42,10.8
372,9,1,3.65,9.96
373,12,2,1.65,6.2
374,8,3,3.31,9.34
374,26,3,2.54,8.36
374,10,3,4.42,10.8
374,22,1,2.45,11.98
375,1,3,1.88,8.3
376,30,3,2.74,7.08
376,23,3,3.04,3.82
377,25,3,4.17,6.8
377,7,2,1.32,5.64
378,24,3,4.44,4.38
378,4,2,1.41,6.42
379,5,1,4.39,8.43
379,19,2,1.85,7.49
379,1,2,1.88,8.3
380,30,2,2.74,7.08
380,20,1,1.57,4.26
381,3,3,2.36,4.4
381,11,3,2.11,8.72
381,8,1,3.31,9.34
382,18,3,2.6,3.6
382,13,1,3.81,9.15
382,12,1,1.65,6.2
382,29,1,4.07,6.06
383,25,3,4.17,6.8
383,17,2,1.92,3.29
384,29,3,4.07,6.06
384,20,3,1.57,4.26
385,30,1,2.74,7.08
385,13,2,3.81,9.15
385,18,3,2.6,3.6
385,10,1,4.42,10.8
386,16,1,3.74,10.59
386,10,3,4.42,10.8
386,7,2,1.32,5.64
386,17,1,1.92,3.29
387,21,1,3.99,6.86
388,7,3,1.32,5.64
389,15,3,1.65,6.42
390,6,2,3.92,7.83
391,13,2,3.81,9.15
391,21,2,3.99,6.86
391,14,2,3.44,4.54
391,1,2,1.88,8.3
392,25,3,4.17,6.8
