order_id,order_date,customer_id,store_id,channel
128,2025-01-12,134,6,delivery
129,2026-04-22,158,3,web
130,2025-08-15,113,3,web
131,2026-03-02,360,9,web
132,2025-03-25,270,8,phone
133,2026-06-02,104,10,phone
134,2026-03-29,60,4,phone
135,2026-04-13,289,1,phone
136,2025-08-12,297,2,dine-in
137,2025-02-02,147,7,delivery
138,2026-03-07,192,7,web
139,2025-12-23,61,3,phone
140,2025-11-02,238,9,web
141,2025-04-26,17,7,phone
142,2025-03-10,52,10,dine-in
143,2026-03-26,120,9,delivery
144,2025-10-24,120,10,app
145,2025-08-15,212,5,app
146,2025-06-29,321,7,phone
147,2026-03-03,210,3,app
148,2025-05-28,413,8,dine-in
149,2025-12-05,332,2,web
150,2026-01-22,345,10,phone
151,2025-07-12,412,10,phone
152,2025-11-07,490,1,delivery
153,2025-09-06,357,10,delivery
154,2026-01-03,158,5,app
155,2026-01-15,161,7,dine-in
156,2026-03-04,152,3,delivery
157,2025-12-12,132,8,web
158,2026-05-16,95,9,dine-in
159,2025-02-19,392,1,web
160,2025-06-04,5,4,phone
161,2026-05-15,9,1,phone
162,2026-05-30,417,7,delivery
163,2026-06-21,77,4,delivery
164,2026-02-20,236,10,delivery
165,2025-02-02,48,7,web
166,2026-05-27,433,7,app
167,2025-02-13,118,4,phone
168,2025-02-03,92,6,dine-in
169,2026-02-12,476,2,app
170,2025-12-06,197,3,dine-in
171,2025-12-15,310,10,phone
172,2025-12-31,284,7,web
173,2025-03-29,396,10,app
174,2025-06-07,195,3,web
175,2026-01-04,390,5,dine-in
176,2026-06-09,209,2,dine-in
177,2025-04-06,306,10,app
178,2025-09-06,293,9,delivery
179,2025-06-21,223,5,web
180,2026-05-23,305,10,delivery
181,2026-01-25,412,6,web
182,2025-07-25,246,6,delivery
183,2025-11-30,193,5,web
184,2025-01-28,488,8,delivery
185,2025-05-23,325,5,delivery
186,2025-03-17,230,10,web
187,2025-03-29,56,4,app
188,2026-02-14,496,6,web
189,2025-09-22,114,9,phone
190,2026-05-28,78,6,dine-in
191,2025-11-16,176,8,delivery
192,2025-03-10,154,1,dine-in
193,2025-04-22,347,3,delivery
194,2026-03-13,491,8,delivery
195,2025-07-22,231,10,web
196,2025-04-15,410,9,delivery
197,2026-05-17,271,6,phone
198,2025-06-26,417,5,phone
199,2025-11-17,61,4,app
200,2025-05-25,262,7,web
201,2026-05-14,326,9,delivery
202,2025-11-19,432,8,phone
203,2025-01-10,249,3,delivery
204,2026-03-31,251,3,dine-in
205,2025-10-27,17,5,delivery
206,2026-06-08,58,10,dine-in
207,2026-03-28,280,4,web
208,2025-09-11,153,1,web
209,2025-08-03,416,10,app
210,2025-12-26,273,5,phone
211,2025-10-01,488,9,dine-in
212,2025-10-11,444,3,delivery
213,2026-02-07,251,3,phone
214,2025-04-06,207,9,app
215,2025-04-06,375,8,app
216,2026-02-12,112,7,delivery
217,2026-05-12,404,6,dine-in
218,2026-04-16,9,2,delivery
219,2025-11-06,82,5,dine-in
220,2025-06-19,27,7,app
221,2025-04-08,1,4,web
222,2025-08-20,266,8,dine-in
223,2025-05-04,441,7,delivery
224,2026-01-12,452,5,delivery
225,2025-01-09,313,3,web
226,2026-03-30,441,4,dine-in
227,2026-01-29,180,7,app
228,2025-09-12,284,10,phone
229,2025-07-30,266,10,phone
230,2025-02-25,402,4,web
231,2026-01-05,479,6,delivery
232,2025-03-16,9,10,dine-in
233,2025-02-10,473,1,web
234,2026-02-16,43,9,phone
235,2026-06-08,472,4,delivery
236,2025-03-09,159,7,delivery
237,2026-03-21,60,8,phone
238,2025-06-29,62,1,delivery
239,2025-12-22,268,9,app
240,2025-05-01,395,1,app
241,2026-05-24,234,9,app
242,2025-06-20,189,3,app
243,2025-04-29,117,9,dine-in
244,2025-09-08,24,8,app
245,2026-03-06,115,6,delivery
246,2025-05-03,258,1,delivery
247,2025-03-12,450,8,app
248,2025-07-25,150,10,app
249,2025-07-20,376,9,delivery
250,2025-12-21,326,1,app
251,2026-01-21,435,5,dine-in
252,2025-03-03,498,3,app
253,2026-06-17,212,6,web
254,2026-06-02,69,7,dine-in
255,2025-05-14,122,5,app
256,2026-04-09,140,4,dine-in
257,2025-04-19,85,8,web
258,2026-04-08,158,8,app
259,2025-11-08,424,10,dine-in
260,2025-09-12,496,6,web
261,2025-09-24,420,3,dine-in
262,2025-04-15,412,3,dine-in
263,2025-05-14,102,7,app
264,2025-09-23,470,2,dine-in
265,2026-03-31,415,3,dine-in
266,2026-03-20,421,7,web
267,2026-03-13,89,6,delivery
268,2025-02-05,315,10,phone
269,2026-05-06,32,2,app
270,2025-01-20,196,6,web
271,2025-11-23,306,4,dine-in
272,2025-08-27,499,3,dine-in
273,2025-02-27,392,4,phone
274,2026-01-03,468,10,dine-in
275,2025-11-13,90,8,dine-in
276,2025-08-13,11,9,web
277,2025-07-26,413,3,app
278,2025-06-01,301,3,dine-in
279,2025-04-14,173,5,app
280,2026-05-14,333,6,delivery
281,2025-10-29,66,3,dine-in
282,2025-08-15,328,10,dine-in
283,2025-04-01,421,6,web
284,2025-09-13,355,2,app
285,2026-03-25,376,7,delivery
286,2025-08-19,84,8,dine-in
287,2025-11-23,134,2,dine-in
288,2025-04-06,174,10,phone
289,2025-06-10,28,2,app
290,2025-09-29,339,5,app
291,2026-05-18,79,1,app
292,2025-10-29,422,10,web
293,2025-10-26,42,8,dine-in
294,2025-09-29,47,9,web
295,2026-04-02,23,5,web
296,2025-04-10,44,6,phone
297,2026-03-05,495,9,web
298,2025-02-05,258,10,phone
299,2025-08-05,414,4,delivery
300,2026-03-22,104,3,phone
301,2026-02-11,283,6,app
302,2025-04-26,213,3,delivery
303,2025-04-14,403,5,phone
304,2026-04-30,20,3,app
305,2025-12-06,354,4,dine-in
306,2025-11-15,144,8,dine-in
307,2025-11-25,138,7,phone
308,2025-08-05,468,7,web
309,2026-06-03,207,3,phone
310,2025-07-25,429,1,delivery
311,2026-01-05,361,4,app
312,2025-02-01,124,6,web
313,2025-04-03,146,1,web
314,2025-08-08,439,4,delivery
315,2025-01-21,443,1,web
316,2025-08-18,130,10,app
317,2025-08-12,239,5,phone
318,2025-10-17,153,2,web
319,2025-11-29,442,5,app
320,2026-02-18,339,6,delivery
321,2025-10-30,133,7,web
322,2025-08-16,352,9,web
323,2025-07-05,151,2,web
324,2025-07-07,485,6,dine-in
325,2026-03-07,404,6,app
326,2025-03-14,242,4,phone
327,2026-01-26,272,5,web
328,2025-05-21,103,6,web
329,2025-07-01,161,1,dine-in
330,2025-05-13,315,7,web
331,2026-01-18,487,1,app
332,2025-09-12,116,6,app
333,2025-11-10,86,2,dine-in
334,2025-12-12,223,3,app
335,2025-05-15,109,1,phone
336,2025-02-08,193,5,phone
337,2025-04-21,335,1,dine-in
338,2026-01-25,64,9,app
339,2026-03-07,339,2,phone
340,2026-06-08,369,10,dine-in
341,2025-09-27,426,9,delivery
342,2026-05-24,467,4,web
343,2026-05-21,77,2,phone
344,2025-04-14,464,5,delivery
345,2025-10-25,185,6,web
346,2025-01-10,437,3,delivery
347,2025-04-06,191,6,delivery
348,2026-04-13,140,7,web
349,2025-04-17,214,10,web
350,2025-05-14,248,8,dine-in
351,2026-06-22,393,10,phone
352,2025-04-08,222,4,web
353,2025-02-25,6,3,phone
354,2025-12-05,497,5,dine-in
355,2025-08-29,41,8,web
356,2025-01-19,53,7,web
357,2025-01-01,423,2,phone
358,2026-04-13,487,6,app
359,2026-04-11,170,9,phone
360,2025-08-16,2,6,app
361,2025-06-18,253,3,web
362,2025-07-20,97,2,web
363,2025-04-21,388,7,dine-in
364,2026-04-14,338,10,phone
365,2025-02-19,284,7,phone
366,2025-05-12,54,7,phone
367,2025-09-12,141,7,app
368,2026-06-09,154,9,app
369,2025-10-25,352,6,delivery
370,2025-11-27,364,2,app
371,2025-10-20,450,7,dine-in
372,2025-05-29,28,1,delivery
373,2025-03-05,354,5,delivery
374,2025-04-15,316,9,delivery
375,2026-01-26,199,7,app
376,2025-09-15,104,10,web
377,2026-01-12,387,10,phone
378,2026-04-05,91,2,delivery
379,2025-02-11,220,5,phone
380,2026-04-23,364,3,dine-in
381,2025-11-05,252,10,phone
382,2026-06-18,35,9,delivery
383,2025-12-06,170,6,app
384,2025-01-10,59,6,web
385,2025-09-07,491,1,app
386,2026-06-14,421,6,phone
387,2025-04-09,86,9,phone
388,2025-08-04,344,4,web
389,2026-03-22,332,2,delivery
390,2025-12-06,20,2,dine-in
391,2025-03-14,295,4,app
392,2025-05-02,274,1,phone
393,2025-02-16,359,2,app
394,2025-11-05,311,2,app
395,2025-08-14,70,7,phone
396,2026-01-18,491,1,phone
397,2026-02-08,276,9,dine-in
398,2026-02-27,464,9,delivery
399,2025-07-18,59,3,phone
400,2026-04-18,331,9,dine-in
401,2026-05-14,488,6,app
402,2025-10-19,318,2,delivery
403,2025-06-06,290,10,app
404,2026-03-23,142,6,delivery
405,2026-05-14,283,2,delivery
406,2025-05-24,457,9,delivery
407,2026-06-04,324,1,phone
408,2026-04-29,335,3,app
409,2025-04-03,204,6,phone
410,2025-06-19,388,9,delivery
411,2026-05-11,481,6,dine-in
412,2025-09-28,190,4,dine-in
413,2026-04-11,452,1,dine-in
414,2025-09-27,297,9,phone
415,2025-03-21,265,5,web
416,2026-05-14,406,8,phone
417,2026-03-27,85,4,dine-in
418,2025-05-02,339,4,web
419,2025-08-04,303,3,web
420,2025-05-11,294,10,delivery
421,2025-05-31,29,3,app
422,2025-01-20,450,5,dine-in
423,2025-06-24,113,7,phone
424,2026-06-08,136,3,app
425,2025-01-17,104,9,phone
426,2025-02-09,450,9,phone
427,2025-05-14,462,10,phone
428,2026-03-18,268,7,app
429,2026-03-16,118,8,web
430,2026-03-12,69,5,web
431,2026-02-23,132,4,dine-in
432,2025-05-01,267,1,web
433,2025-04-20,80,7,phone
434,2025-10-10,349,7,delivery
435,2025-09-17,158,10,app
436,2025-06-15,52,4,phone
437,2025-02-23,83,7,dine-in
438,2026-04-28,475,10,web
439,2025-08-16,190,2,phone
440,2026-02-15,315,9,app
441,2026-05-22,225,1,delivery
442,2025-08-26,315,3,dine-in
443,2026-02-14,181,7,web
444,2025-03-12,471,2,phone
445,2025-10-11,116,10,delivery
446,2025-04-20,287,2,phone
447,2025-09-14,356,8,web
448,2025-01-29,247,2,app
449,2025-08-14,347,4,app
450,2025-04-06,205,6,dine-in
451,2025-10-03,94,4,web
452,2025-07-31,118,4,delivery
453,2026-05-20,315,1,phone
454,2026-01-16,318,6,web
455,2025-08-16,385,10,delivery
456,2026-05-05,482,9,dine-in
457,2026-06-15,236,6,dine-in
458,2026-01-24,298,2,app
459,2025-10-03,242,10,app
460,2026-01-17,187,7,app
461,2025-10-04,412,4,phone
462,2025-01-10,91,7,web
463,2025-11-20,403,8,app
464,2025-06-17,31,4,app
465,2026-01-04,287,9,app
466,2025-07-23,296,10,phone
467,2026-06-07,250,8,dine-in
468,2026-03-08,324,10,phone
469,2025-10-26,364,5,phone
470,2026-02-28,86,3,dine-in
471,2025-03-23,108,3,web
472,2026-04-30,281,1,dine-in
473,2026-02-04,159,4,delivery
474,2025-01-30,18,6,app
475,2025-07-01,303,10,web
476,2025-08-21,413,2,web
477,2025-01-01,268,3,app
478,2026-05-04,154,1,web
479,2025-07-13,211,9,web
480,2025-08-14,135,2,web
481,2025-10-06,146,9,app
482,2026-04-09,140,10,web
483,2025-01-23,96,2,app
484,2025-04-03,78,1,web
485,2026-01-16,238,1,app
486,2025-02-27,137,7,dine-in
487,2025-05-05,499,4,web
488,2026-06-18,341,4,web
489,2026-06-18,63,5,web
490,2025-08-12,499,2,delivery
491,2025-01-10,497,1,phone
492,2026-05-27,47,10,app
493,2025-06-07,360,9,dine-in
494,2025-12-22,413,8,delivery
495,2026-01-02,371,3,app
496,2026-03-25,287,5,phone
497,2025-10-09,445,10,phone
498,2025-10-30,420,5,phone
499,2025-07-09,453,1,phone
500,2026-02-01,98,9,web
501,2025-11-26,57,2,phone
502,2025-07-02,448,1,delivery
503,2025-04-12,17,10,web
504,2025-03-14,7,4,web
505,2025-03-04,185,9,web
506,2025-02-11,376,2,app
507,2025-04-10,52,4,phone
508,2026-03-02,383,2,phone
509,2025-06-20,406,3,phone
510,2025-11-19,282,6,app
511,2025-08-08,193,9,app
512,2025-10-19,306,1,phone
513,2025-08-16,110,6,dine-in
514,2025-06-08,49,1,web
515,2025-09-13,120,5,app
516,2025-08-11,376,2,app
517,2025-11-04,20,10,web
518,2025-12-09,179,7,web
519,2025-01-12,325,7,dine-in
520,2025-12-01,258,4,delivery
521,2026-02-07,498,8,phone
522,2025-10-24,403,7,delivery
523,2025-02-20,281,7,app
524,2026-03-21,397,3,delivery
525,2026-06-21,127,4,dine-in
526,2025-04-02,58,7,web
527,2025-01-25,395,5,delivery
528,2025-08-28,103,6,delivery
529,2025-02-25,125,10,delivery
530,2026-04-28,12,6,delivery
531,2026-05-10,319,3,dine-in
532,2025-07-25,405,10,app
533,2025-01-09,35,7,app
534,2026-01-31,119,7,phone
535,2026-05-12,444,10,phone
536,2026-05-28,495,8,phone
537,2026-06-27,157,6,web
538,2025-11-06,121,9,app
539,2026-02-01,456,1,phone
540,2025-03-31,374,7,phone
541,2026-03-13,497,5,phone
542,2025-07-27,442,3,app
543,2025-06-11,163,2,phone
544,2025-05-30,373,1,app
545,2025-10-08,78,4,dine-in
546,2025-10-01,311,10,phone
547,2025-01-27,184,2,web
548,2026-01-18,95,7,web
549,2025-10-04,487,7,delivery
550,2026-03-26,444,10,web
551,2025-02-12,312,7,app
552,2025-02-09,267,2,web
553,2025-02-10,286,7,phone
554,2026-03-27,204,5,app
555,2025-05-26,238,8,dine-in
556,2025-05-19,202,7,app
557,2026-04-11,47,5,app
558,2025-04-27,362,8,app
559,2026-01-29,373,9,phone
560,2025-06-24,468,6,phone
561,2025-02-22,215,5,app
562,2025-09-17,7,8,web
563,2026-05-03,233,7,web
564,2025-01-07,126,9,app
565,2025-12-24,19,3,dine-in
566,2025-06-15,345,5,phone
567,2025-02-06,48,5,app
568,2025-03-08,150,8,delivery
569,2025-12-04,270,7,phone
570,2025-04-22,293,9,dine-in
571,2025-09-23,270,10,phone
572,2026-05-25,253,3,phone
573,2025-05-02,13,8,dine-in
574,2025-02-16,171,6,phone
575,2025-10-16,131,2,app
576,2025-12-08,175,7,phone
577,2025-07-18,170,6,web
578,2025-12-10,237,7,dine-in
579,2025-01-20,107,10,app
580,2025-06-19,293,10,web
581,2025-11-19,364,1,app
582,2025-08-10,269,5,delivery
583,2025-07-26,468,2,web
584,2026-05-28,79,4,app
585,2025-05-16,106,1,web
586,2025-03-31,171,8,dine-in
587,2025-11-16,12,10,app
588,2025-10-11,273,6,web
589,2025-06-11,141,2,dine-in
590,2025-12-25,282,6,app
591,2025-06-25,37,5,phone
592,2025-02-21,55,7,dine-in
593,2025-07-03,361,10,phone
594,2025-03-22,499,8,phone
595,2026-04-12,159,8,web
596,2025-09-22,468,6,web
597,2026-04-10,250,1,dine-in
598,2025-05-11,261,2,web
599,2025-03-14,406,5,phone
600,2026-05-09,197,2,app
601,2026-03-22,291,6,phone
602,2026-05-14,59,10,phone
603,2025-04-22,351,10,web
604,2025-05-23,455,10,dine-in
605,2025-10-26,200,10,phone
606,2025-11-08,471,7,app
607,2026-06-07,207,3,app
608,2025-02-24,1,9,app
609,2025-02-01,121,7,phone
610,2025-08-05,340,3,web
611,2026-03-04,79,5,delivery
612,2025-05-28,370,8,web
613,2026-04-12,458,10,web
614,2026-04-06,197,6,delivery
615,2026-05-26,434,4,phone
616,2026-05-10,361,6,dine-in
617,2026-04-22,265,2,phone
618,2025-03-21,351,9,phone
619,2026-04-26,233,9,web
620,2025-02-06,356,10,app
621,2025-02-22,337,5,phone
622,2025-03-26,65,9,dine-in
623,2025-01-15,380,2,phone
624,2026-04-03,190,3,app
625,2025-02-03,176,2,delivery
626,2026-01-28,122,8,delivery
627,2025-02-25,329,5,dine-in
628,2026-02-13,244,5,web
629,2026-05-01,135,3,phone
630,2025-02-12,50,9,app
631,2025-09-19,336,10,web
632,2026-06-17,173,3,app
633,2025-03-11,7,7,dine-in
634,2025-12-26,113,5,app
635,2025-02-28,481,10,delivery
636,2025-03-30,439,10,delivery
637,2025-09-17,151,8,dine-in
638,2025-09-21,83,2,app
639,2025-12-07,31,5,app
640,2026-02-07,92,8,dine-in
641,2025-04-19,468,8,app
642,2025-03-14,293,5,web
643,2025-06-02,335,1,dine-in
644,2026-06-12,363,8,web
645,2026-05-09,63,10,phone
646,2025-04-03,188,9,app
647,2025-10-24,332,4,delivery
648,2025-07-15,154,7,dine-in
649,2025-07-14,72,1,delivery
650,2025-09-02,251,7,dine-in
651,2025-12-14,29,6,dine-in
652,2025-06-02,380,10,delivery
653,2025-05-25,251,1,web
654,2025-05-14,8,3,dine-in
655,2025-03-07,419,2,dine-in
656,2026-02-16,167,2,phone
657,2025-06-27,172,2,dine-in
658,2025-06-18,225,4,phone
659,2026-01-21,399,3,dine-in
660,2025-10-18,214,8,delivery
661,2026-04-07,211,4,delivery
662,2026-05-27,314,2,app
663,2026-06-27,49,10,app
664,2025-10-11,28,4,dine-in
665,2025-06-13,344,1,dine-in
666,2026-04-10,23,2,dine-in
667,2025-04-29,37,4,web
668,2025-08-24,399,2,app
669,2025-07-24,193,4,dine-in
670,2026-04-11,92,7,app
671,2026-01-03,500,5,delivery
672,2025-05-20,57,8,web
673,2025-06-24,296,9,delivery
674,2026-05-16,442,4,phone
675,2025-09-11,168,7,phone
676,2025-01-06,214,1,dine-in
677,2025-04-11,232,8,delivery
678,2026-02-21,487,4,delivery
679,2025-11-09,83,8,phone
680,2025-05-22,448,7,delivery
681,2025-03-14,198,6,phone
682,2025-10-04,358,10,phone
683,2025-12-10,377,1,phone
684,2025-02-11,188,6,delivery
685,2025-07-29,71,6,delivery
686,2025-08-03,386,4,app
687,2025-02-25,33,6,app
688,2026-06-30,461,5,web
689,2025-03-31,42,7,delivery
690,2025-06-01,255,3,delivery
691,2025-05-16,243,6,web
692,2026-06-17,331,6,web
693,2026-06-27,432,9,web
694,2026-01-16,498,5,dine-in
695,2025-06-14,365,9,app
696,2025-06-07,83,4,dine-in
697,2025-05-10,226,5,app
698,2025-11-21,177,3,app
699,2025-05-29,486,8,app
700,2025-12-06,332,5,web
701,2026-03-29,174,2,web
702,2025-04-30,158,1,web
703,2025-02-26,312,4,phone
704,2025-03-27,276,8,dine-in
705,2026-01-05,204,3,web
706,2025-11-12,229,9,dine-in
707,2026-03-30,148,3,web
708,2026-06-22,172,2,phone
709,2026-04-19,364,10,delivery
710,2026-05-18,22,5,phone
711,2025-01-03,79,5,app
712,2025-09-08,15,2,app
713,2025-09-22,322,8,dine-in
714,2025-06-16,298,1,delivery
715,2025-10-07,185,7,app
716,2026-06-27,328,2,phone
717,2025-06-21,279,6,app
718,2025-12-27,422,3,dine-in
719,2026-02-26,175,3,dine-in
720,2026-06-23,434,9,phone
721,2025-03-20,60,3,dine-in
722,2026-06-20,391,6,delivery
723,2025-05-26,353,4,app
724,2025-04-25,40,1,web
725,2025-03-02,241,2,app
726,2025-01-11,387,2,dine-in
727,2025-12-26,15,2,delivery
728,2025-09-05,259,10,dine-in
729,2025-01-15,271,4,delivery
730,2026-06-01,436,8,app
731,2025-12-30,195,7,delivery
732,2025-05-07,239,2,phone
733,2025-02-11,43,6,web
734,2026-04-13,308,5,web
735,2025-07-13,439,2,web
736,2026-02-10,225,9,dine-in
737,2026-02-15,356,10,dine-in
738,2025-07-25,305,7,dine-in
739,2025-10-13,392,10,phone
740,2026-02-19,249,9,app
741,2025-09-14,251,8,delivery
742,2025-03-11,256,1,delivery
743,2025-03-20,339,9,web
744,2025-12-18,415,9,phone
745,2026-03-17,451,2,web
746,2025-11-07,453,3,web
747,2026-05-18,338,9,phone
748,2026-05-22,303,7,phone
749,2025-02-16,66,6,app
750,2025-12-16,195,2,web
751,2025-09-11,121,5,phone
752,2025-03-09,445,5,dine-in
753,2026-03-09,291,9,web
754,2026-01-22,293,7,app
755,2025-04-13,354,4,app
756,2025-07-26,255,2,phone
757,2026-02-16,412,4,phone
758,2025-04-08,304,6,app
759,2026-05-02,219,4,app
760,2026-06-01,412,5,web
761,2026-04-10,344,9,delivery
762,2026-06-13,442,3,phone
763,2026-06-30,415,10,web
764,2026-01-09,237,3,delivery
765,2026-03-22,211,6,dine-in
766,2025-06-14,132,10,delivery
767,2026-04-21,249,9,web
768,2025-10-12,338,9,delivery
769,2025-01-21,29,2,app
770,2025-04-03,204,3,delivery
771,2026-05-28,478,2,phone
772,2025-12-04,427,10,web
773,2025-04-20,90,4,app
774,2025-04-26,163,9,web
775,2025-11-12,11,10,dine-in
776,2025-09-03,130,9,web
777,2025-08-31,440,8,web
778,2025-09-19,155,2,delivery
779,2026-02-21,405,1,app
780,2026-04-28,378,7,app
781,2025-12-27,216,10,phone
782,2025-07-08,323,8,delivery
783,2025-11-09,161,10,dine-in
784,2026-06-13,366,3,phone
785,2025-06-27,352,10,app
786,2026-01-22,484,10,delivery
787,2025-08-23,465,2,web
788,2025-02-20,206,10,web
789,2025-01-15,368,9,web
790,2025-09-30,148,8,web
791,2025-10-17,373,4,web
792,2025-09-26,121,10,web
793,2026-04-15,44,1,web
794,2025-08-06,366,7,web
795,2025-08-29,242,6,phone
796,2026-06-01,318,7,app
797,2025-06-23,258,8,app
798,2025-04-30,161,1,delivery
799,2025-09-28,265,6,web
800,2026-03-27,28,4,delivery
801,2025-02-06,241,5,delivery
802,2026-05-12,235,8,dine-in
803,2025-10-18,93,3,phone
804,2026-06-23,393,10,delivery
805,2025-01-27,146,2,web
806,2025-03-25,236,8,web
807,2026-04-09,167,10,delivery
808,2025-10-17,166,1,dine-in
809,2025-08-02,84,7,web
810,2026-03-19,377,5,phone
811,2026-06-09,103,8,web
812,2026-01-13,315,3,web
813,2025-06-08,477,8,phone
814,2026-03-24,41,8,app
815,2025-09-12,268,7,app
816,2025-02-16,263,2,phone
817,2025-12-30,131,10,dine-in
818,2026-04-19,92,3,web
819,2025-11-01,161,10,web
820,2025-09-23,447,2,web
821,2025-04-30,7,3,web
822,2025-11-07,317,10,app
823,2025-01-17,357,4,dine-in
824,2025-09-05,224,9,delivery
825,2025-06-01,243,7,dine-in
826,2026-04-01,494,8,web
827,2025-09-06,104,5,phone
828,2026-05-23,378,10,phone
829,2026-05-15,119,1,phone
830,2025-11-20,284,2,app
831,2026-03-23,11,3,app
832,2026-06-04,113,10,app
833,2026-01-04,408,8,delivery
834,2026-05-10,67,3,delivery
835,2026-05-21,156,4,delivery
836,2025-09-25,183,3,delivery
837,2025-12-12,221,2,phone
838,2025-09-22,175,6,dine-in
839,2025-04-17,362,1,web
840,2025-02-12,260,2,delivery
841,2026-01-06,81,5,web
842,2025-05-06,435,4,web
843,2025-03-29,137,6,web
844,2026-03-08,404,4,delivery
845,2026-01-06,484,1,web
846,2025-03-13,44,6,app
847,2025-06-04,463,10,dine-in
848,2025-11-08,370,6,app
849,2026-06-25,313,3,web
850,2025-12-20,455,7,delivery
851,2025-05-10,267,9,app
852,2026-06-18,175,3,dine-in
853,2025-09-22,124,5,web
854,2026-01-17,133,9,app
855,2025-05-08,230,5,phone
856,2025-08-30,413,10,phone
857,2025-05-24,366,7,phone
858,2025-07-17,422,6,web
859,2026-03-12,425,7,dine-in
860,2025-05-14,244,4,web
861,2026-06-23,207,10,phone
862,2026-05-17,375,7,delivery
863,2026-04-14,67,9,phone
864,2026-04-12,243,1,delivery
865,2026-01-14,293,5,dine-in
866,2025-11-07,151,8,dine-in
