customer_id,customer_segment,churn_risk
426,Occasional,High
427,New,High
428,New,Medium
429,Regular,Medium
430,Premium,Low
431,Occasional,Low
432,New,Low
433,New,Low
434,Regular,Medium
435,Regular,Low
436,New,Medium
437,Occasional,High
438,New,High
439,Premium,Medium
440,New,Medium
441,New,High
442,Premium,High
443,Premium,Low
444,Occasional,Low
445,Premium,Medium
446,Premium,High
447,Premium,Medium
448,Regular,High
449,Occasional,Low
450,Premium,Medium
451,Premium,Medium
452,Occasional,Medium
453,New,Low
454,Regular,High
455,New,High
456,Regular,Low
457,Regular,Low
458,New,High
459,Regular,Medium
460,Regular,Low
461,New,High
462,Occasional,Medium
463,Occasional,High
464,Premium,Medium
465,Occasional,High
466,Regular,Low
467,New,Medium
468,Occasional,High
469,New,High
470,Occasional,Medium
471,Occasional,Low
472,New,Medium
473,Premium,Low
474,New,High
475,Occasional,High
476,Occasional,High
477,Occasional,Low
478,New,Medium
479,Premium,High
480,Premium,High
481,New,Medium
482,Regular,High
483,Occasional,Low
484,Regular,High
485,Occasional,High
486,Regular,High
487,Premium,High
488,Premium,Medium
489,New,Low
490,Occasional,High
491,Regular,Low
492,Occasional,Medium
493,New,Low
494,Regular,Low
495,Occasional,High
496,Occasional,Low
497,Occasional,Medium
498,Occasional,High
499,Occasional,Low
500,New,Low
